15 AIRCRAFT MAINT SQ,
15 COMPTROLLER SQ,
15 HEALTHCARE OPS SQ,15 MDG
15 MAINTENANCE GP,
15 MAINTENANCE SQ,
15 MEDICAL GP,15 MDG
15 MEDICAL SUPPORT SQ,15 MDG
15 OP MED READINESS SQ,15 MDG
15 OPERATIONS GP,
15 OPERATIONS SUPPORT SQ,
15 WING,
19 FIGHTER SQ,
535 AIRLIFT SQ,
647 AIR BASE GP,
647 CIVIL ENGINEER SQ,
647 FORCE SUPPORT SQ,
647 LOGISTICS READINES SQ,
65 AIRLIFT SQ,
613 AIR OPERATIONS,
PACAF CYBER SYS SQ,
PACIFIC AIR FORCES,
PACIFIC AIR FORCES OL00A1,
PACIFIC AIR FORCES OL00A2,
PACIFIC AIR FORCES OL0TSQ,
PACIFIC AIR FORCES OLA3A6,
PACIFIC AIR FORCES OLA400,
PACIFIC AIR FORCES OLA5A8,
PACIFIC AIR FORCES OLFM00,
PACIFIC AIR FORCES OLGD00,
PACIFIC AIR FORCES OLHC00,
PACIFIC AIR FORCES OLIG00,
PACIFIC AIR FORCES OLJA00,
PACIFIC AIR FORCES OLPA00,
PACIFIC AIR FORCES OLSE00,
PACIFIC AIR FORCES OLSG00,
17 OP WEATHER SQ,
18 AEROMED EVAC SQ,
18 FORCE SUPPORT SQ,
21 SPACE OPNS SQ,
25 AIR SUPT OPNS SQ,
348 USAF RECRUITING SQ,
352 CYBER OPERATIONS SQ,
369 USAF RECRUITING SQ,
37 INTELLIGENCE SQ,
515 AIR MOBILITY OPS WG,
56 AIR COMMUNICATIONS SQ,
6 FIELD INVESTIGATNS RG,
6 FIELD INVESTIGATNS RG DET601,
690 CYBER OPERATIONS SQ,
735 AIR MOBILITY SQ,
766 ENTERPRISE SOURCNG SQ,
84 RADAR EVALUATION SQ,
ACC AIR OPERATIONS SQ,
AF BAND PACIFIC,
AF GLOBAL STRIKE,
AF INST & MSN SPT,
AF INST OF TECH,
AF INSTAL CONTRACT,
AF LEGAL OP AGENCY,
AFELM DEF INTEL AG,
AFELM JIATF WEST,
AFELM JIOC,
AFELM MED TRANSCOM,
AFELM MEPCOM/WEST,
AFELM MTMC,
AFELM NATL SECY,
AFELM US TRANSCOM,
AFELM USPACOM,
AFROTC SW RG DET175,
ANG READINESS,
DEF POW/MIA ACCT,
DEF SECURITY COOP,
DEFENSE MEDIA,
GLOBAL ACTIVITIES SQ,
JT INFO OPS WAR,
SECURITY FORCES,
SPECIAL OPERATIONS,
USSTRATCOM-CO,
1 COMBAT WEATHER SQ,
2 SPACE DE,
2 WEATHER SQ,
324 INTELLIGENCE SQ,
392 INTELLIGENCE SQ,
554 RED HORSE SQ,
647 SECURITY FORCES SQ,
692 INTL/SURVEIL/RECON GP,
747 CYBERSPACE SQ,
792 INTEL SUPPORT SQ,
8 INTELLIGENCE SQ,
AF MORT AFFAIR OPS,
AF RESEARCH LAB,
AFELM DISA/FLD AG,
AFELM DLG INDONESI,
AFELM JUSMAG KOREA,
AFELM JUSMAG PHILP,
AFELM JUSMAG THAI,
AFELM MDAO JAPAN,
AFELM ODC ASTRLIA,
AFELM PERS EXCH PR,
AFELM PME EXCH PGM,
AFELM SECURITY AST,
AFELM SPECACTS,
AFELM USAF RDLO,
AFELM USSPACECOM,
AFOSI SPECIAL PROJ OL000H,
INV COLL OPS NEXUS OL001A,
PACIFIC AIR FORCES OL000C,
SF COM SAT COMM,